candidate,frequency,sample_product_names
Clogard,20,Clogard Chooty Toothpaste Strawberry | Clogard Salt + Mint Gel Toothpaste | Clogard Toothpaste | Clogard Toothpaste Natural Salt
Daily,20,Daily Milk Chocolate | Daily Milk Faluda | Daily Milk Strawberry | Daily Milk Vanilla
Sante,20,Sante Cereal Bar Nut And Almond | Sante Cereal Bar Nut N Almond Choco | Sante Granola Nut | Sante Tropical Muesli Dates Pineapple Papaya
SPAR Local,20,SPAR Local Coconut Oil | SPAR Local Drinking Water | SPAR Local Jack Mackerel Canned Fish | SPAR Local Wheat Flour
Gold,19,"Gold 3In1 Head To Toe Wash,Cool Blast | Gold Deo Spray Classic | Gold Star Garlic Butter | Gold Winner Sunflower Oil"
Nongshim,19,Nongshim Shin Ramyun Noodles | Nongshim Shin Ramyun Noodles Stir Fry With Cheese | Nongshim Shin Ramyun Toomba Stir Fry Spicy And Creamy Flavour | Nongshim Shin Red Super Spicy
Coopoliva,19,Coopoliva Extra Virgin Olive Oil | Coopoliva Pitted Black Olives | Coopoliva Spanish Black Olives | Coopoliva Stuffed Green Olives
Hosen,19,Hosen Baked Beans | Hosen Lychee In Syrup | Hosen Mango In Syrup | Hosen Peaches In Syrup
Vim,19,Vim Dish Wash Bar Multi Pack 100 G | Vim Dishwash Scouring Powder | Vim Lime Fresh Dishwash Liquid | Vim Lime Fresh Dishwash Liquid Spouted Pouch
Rathna,19,"Rathna Nadu Rice | Rathna Single Ruled Book,80 Pages | Rathna Single Ruled Cr Book,80 Pages | Rathna White Raw Rice"
Dum,19,Dum Dum Almond Essence | Dum Dum Baking Powder | Dum Dum Custard Powder | Dum Dum Jelly Apple Flavored
Dum Dum,19,Dum Dum Almond Essence | Dum Dum Baking Powder | Dum Dum Custard Powder | Dum Dum Jelly Apple Flavored
Janet,19,"Janet Peppermint Face Wash | Janet Perfumed Deodorant, Lilac Mist | Janet Perfumed Deodorant, White Lily | Janet Wild Strawberry Lip Balm"
Fadna,19,Fadna Bittergourd Tea | Fadna Diabe Tea Sabaragamuwa | Fadna Shape Up Tea Bags | Fadna Tummy Tea Bags
American,19,American Garden Apple Cider Vinegr | American Garden Peanut Butr Creamy | American Garden Peanut Butr Crunchy | American Garden White Vinegar
DASH,19,DASH Air Freshener Strawberry | DASH Disinfectant Pine Top | DASH Glass Cleaner | DASH Tile Cleaner
Arunalu,18,Arunalu Kooni | Arunalu Shark | Arunalu Thalapath | Arunalu Thalapath Dry Fish
Magna,18,Magna Cheezy Onion Bite | Magna Devilled Mixture | Magna Indian Mixture | Magna Jumbo Peanuts
Daintee,18,Daintee Fruity Drops | Daintee Milady Ã‰Clair Orange | Daintee Milady Éclair Strawberry | Daintee Xtra Original
Nipuna,18,Nipuna Broken Keeri Samba | Nipuna Nadu Rice | Nipuna Red Raw Rice | Nipuna White Raw Rice
Acon,18,Acon Birthday Candles | Acon Birthday Letter Candles | Acon Crepe Strips | Acon Snow Spray
Ayush,18,Ayush Anti Marks & Oil Control Face Cream | Ayush Glowing Radiance Soap | Ayush Natural Glow & Protect Face Wash | Ayush Total Oral Care Toothpaste
